GLOBAL UNIQUE IDENTIFIER	LAST EDITED DATE	TAXONOMIC ORDER	CATEGORY	TAXON CONCEPT ID	COMMON NAME	SCIENTIFIC NAME	SUBSPECIES COMMON NAME	SUBSPECIES SCIENTIFIC NAME	EXOTIC CODE	OBSERVATION COUNT	BREEDING CODE	BREEDING CATEGORY	BEHAVIOR CODE	AGE/SEX	COUNTRY	COUNTRY CODE	STATE	STATE CODE	COUNTY	COUNTY CODE	IBA CODE	BCR CODE	USFWS CODE	ATLAS BLOCK	LOCALITY	LOCALITY ID	LOCALITY TYPE	LATITUDE	LONGITUDE	OBSERVATION DATE	TIME OBSERVATIONS STARTED	OBSERVER ID	OBSERVER ORCID ID	SAMPLING EVENT IDENTIFIER	OBSERVATION TYPE	PROTOCOL NAME	PROTOCOL CODE	PROJECT NAMES	PROJECT IDENTIFIERS	DURATION MINUTES	EFFORT DISTANCE KM	EFFORT AREA HA	NUMBER OBSERVERS	ALL SPECIES REPORTED	GROUP IDENTIFIER	HAS MEDIA	APPROVED	REVIEWED	REASON	CHECKLIST COMMENTS	SPECIES COMMENTS	
URN:CornellLabOfOrnithology:EBIRD:OBS505663992	2021-08-19 16:53:40.851334	6092	species	avibase-6EB81C98	Greater Yellowlegs	Tringa melanoleuca				2					Mexico	MX	Sinaloa	MX-SIN	Ahome	MX-SIN-001		33			Ahome	L5884424	P	25.9196069	-109.1754341	1933-08-10		obsr436577		S37215786	Historical	Historical	P62					10.0000	1	0		0	1	0				
URN:CornellLabOfOrnithology:EBIRD:OBS505657683	2021-08-19 16:53:39.941401	8811	species	avibase-FC366114	Great Horned Owl	Bubo virginianus				X					Mexico	MX	Sinaloa	MX-SIN	Ahome	MX-SIN-001		33			Ahome	L5884424	P	25.9196069	-109.1754341	1933-08-06		obsr436577		S37215366	Historical	Historical	P62					10.0000	1	0		0	1	0				
URN:CornellLabOfOrnithology:EBIRD:OBS528927415	2021-04-16 04:40:48.478505	7611	species	avibase-86D45B8F	Green Heron	Butorides virescens				1					Mexico	MX	Sinaloa	MX-SIN	Ahome	MX-SIN-001		33			Ahome	L5884424	P	25.9196069	-109.1754341	1933-08-28		obsr436577		S37218400	Historical	Historical	P62					10.0000	1	0		0	1	0				
URN:CornellLabOfOrnithology:EBIRD:OBS505648936	2021-08-19 16:53:02.893557	33587	species	avibase-5CBA3391	Great-tailed Grackle	Quiscalus mexicanus				X					Mexico	MX	Sinaloa	MX-SIN	Ahome	MX-SIN-001		33			Ahome	L5884424	P	25.9196069	-109.1754341	1933-08-03		obsr436577		S37214697	Historical	Historical	P62					10.0000	1	0		0	1	0				
URN:CornellLabOfOrnithology:EBIRD:OBS525812583	2021-04-16 04:40:48.478505	8377	species	avibase-943AA4FB	Gray Hawk	Buteo plagiatus				1					Mexico	MX	Sinaloa	MX-SIN	Ahome	MX-SIN-001		33			Ahome	L5884424	P	25.9196069	-109.1754341	1933-08-18		obsr436577		S37216055	Historical	Historical	P62					10.0000	1	0		0	1	0				
URN:CornellLabOfOrnithology:EBIRD:OBS526020340	2021-04-16 04:40:48.478505	8377	species	avibase-943AA4FB	Gray Hawk	Buteo plagiatus				1					Mexico	MX	Sinaloa	MX-SIN	Ahome	MX-SIN-001		33			Ahome	L5884424	P	25.9196069	-109.1754341	1933-08-30		obsr436577		S37218418	Historical	Historical	P62					10.0000	1	0		0	1	0				
URN:CornellLabOfOrnithology:EBIRD:OBS505663989	2021-08-19 16:53:40.851334	8377	species	avibase-943AA4FB	Gray Hawk	Buteo plagiatus				2					Mexico	MX	Sinaloa	MX-SIN	Ahome	MX-SIN-001		33			Ahome	L5884424	P	25.9196069	-109.1754341	1933-08-10		obsr436577		S37215786	Historical	Historical	P62					10.0000	1	0		0	1	0				
URN:CornellLabOfOrnithology:EBIRD:OBS519845495	2021-04-16 04:40:48.478505	27261	species	avibase-5F71C217	Happy Wren	Pheugopedius felix				1					Mexico	MX	Sinaloa	MX-SIN	Ahome	MX-SIN-001		33			Ahome	L5884424	P	25.9196069	-109.1754341	1933-08-04		obsr436577		S37214936	Historical	Historical	P62					10.0000	1	0		0	1	0				
URN:CornellLabOfOrnithology:EBIRD:OBS519840054	2021-08-19 16:53:02.893557	27261	species	avibase-5F71C217	Happy Wren	Pheugopedius felix				X					Mexico	MX	Sinaloa	MX-SIN	Ahome	MX-SIN-001		33			Ahome	L5884424	P	25.9196069	-109.1754341	1933-08-03		obsr436577		S37214697	Historical	Historical	P62					10.0000	1	0		0	1	0				
URN:CornellLabOfOrnithology:EBIRD:OBS525806810	2021-04-16 04:40:48.478505	27261	species	avibase-5F71C217	Happy Wren	Pheugopedius felix				1					Mexico	MX	Sinaloa	MX-SIN	Ahome	MX-SIN-001		33			Ahome	L5884424	P	25.9196069	-109.1754341	1933-08-08		obsr436577		S37215686	Historical	Historical	P62					10.0000	1	0		0	1	0				
URN:CornellLabOfOrnithology:EBIRD:OBS505647915	2021-08-19 16:53:02.893557	32034	species	avibase-89431E9F	House Finch	Haemorhous mexicanus				2					Mexico	MX	Sinaloa	MX-SIN	Ahome	MX-SIN-001		33			Ahome	L5884424	P	25.9196069	-109.1754341	1933-08-03		obsr436577		S37214697	Historical	Historical	P62					10.0000	1	0		0	1	0				
URN:CornellLabOfOrnithology:EBIRD:OBS525813383	2021-04-16 04:40:48.478505	32034	species	avibase-89431E9F	House Finch	Haemorhous mexicanus				1					Mexico	MX	Sinaloa	MX-SIN	Ahome	MX-SIN-001		33			Ahome	L5884424	P	25.9196069	-109.1754341	1933-08-24		obsr436577		S37216226	Historical	Historical	P62					10.0000	1	0		0	1	0				
URN:CornellLabOfOrnithology:EBIRD:OBS525812584	2021-04-16 04:40:48.478505	32034	species	avibase-89431E9F	House Finch	Haemorhous mexicanus				1					Mexico	MX	Sinaloa	MX-SIN	Ahome	MX-SIN-001		33			Ahome	L5884424	P	25.9196069	-109.1754341	1933-08-18		obsr436577		S37216055	Historical	Historical	P62					10.0000	1	0		0	1	0				
URN:CornellLabOfOrnithology:EBIRD:OBS525807497	2021-04-16 04:40:48.478505	32034	species	avibase-89431E9F	House Finch	Haemorhous mexicanus				1					Mexico	MX	Sinaloa	MX-SIN	Ahome	MX-SIN-001		33			Ahome	L5884424	P	25.9196069	-109.1754341	1933-08-09		obsr436577		S37215740	Historical	Historical	P62					10.0000	1	0		0	1	0				
URN:CornellLabOfOrnithology:EBIRD:OBS505647913	2021-08-19 16:53:02.893557	31261	species	avibase-240E3390	House Sparrow	Passer domesticus			N	X					Mexico	MX	Sinaloa	MX-SIN	Ahome	MX-SIN-001		33			Ahome	L5884424	P	25.9196069	-109.1754341	1933-08-03		obsr436577		S37214697	Historical	Historical	P62					10.0000	1	0		0	1	0				
URN:CornellLabOfOrnithology:EBIRD:OBS525811640	2021-04-16 04:40:48.478505	8349	species	avibase-FBED1927	Harris's Hawk	Parabuteo unicinctus				2					Mexico	MX	Sinaloa	MX-SIN	Ahome	MX-SIN-001		33			Ahome	L5884424	P	25.9196069	-109.1754341	1933-08-14		obsr436577		S37215888	Historical	Historical	P62					10.0000	1	0		0	1	0				
URN:CornellLabOfOrnithology:EBIRD:OBS525813468	2021-04-16 04:40:48.478505	2205	species	avibase-BFE74235	Inca Dove	Columbina inca				1					Mexico	MX	Sinaloa	MX-SIN	Ahome	MX-SIN-001		33			Ahome	L5884424	P	25.9196069	-109.1754341	1933-08-25		obsr436577		S38676047	Historical	Historical	P62				16.093	1.0000		0		0	1	0				
URN:CornellLabOfOrnithology:EBIRD:OBS505668931	2021-08-05 16:42:34.756077	2205	species	avibase-BFE74235	Inca Dove	Columbina inca				2					Mexico	MX	Sinaloa	MX-SIN	Ahome	MX-SIN-001		33			Ahome	L5884424	P	25.9196069	-109.1754341	1933-08-19		obsr436577		S37216127	Historical	Historical	P62					10.0000	1	0		0	1	0				
URN:CornellLabOfOrnithology:EBIRD:OBS505648938	2021-08-19 16:53:02.893557	2205	species	avibase-BFE74235	Inca Dove	Columbina inca				X					Mexico	MX	Sinaloa	MX-SIN	Ahome	MX-SIN-001		33			Ahome	L5884424	P	25.9196069	-109.1754341	1933-08-03		obsr436577		S37214697	Historical	Historical	P62					10.0000	1	0		0	1	0				
URN:CornellLabOfOrnithology:EBIRD:OBS525806123	2023-08-18 17:05:02.022448	11299	species	avibase-2CE418F2	Ladder-backed Woodpecker	Dryobates scalaris				1					Mexico	MX	Sinaloa	MX-SIN	Ahome	MX-SIN-001		33			Ahome	L5884424	P	25.9196069	-109.1754341	1933-08-05		obsr436577		S37215279	Historical	Historical	P62					10.0000	1	0		0	1	0				
URN:CornellLabOfOrnithology:EBIRD:OBS505651510	2021-04-16 04:40:48.478505	11299	species	avibase-2CE418F2	Ladder-backed Woodpecker	Dryobates scalaris				1					Mexico	MX	Sinaloa	MX-SIN	Ahome	MX-SIN-001		33			Ahome	L5884424	P	25.9196069	-109.1754341	1933-08-04		obsr436577		S37214936	Historical	Historical	P62					10.0000	1	0		0	1	0				
URN:CornellLabOfOrnithology:EBIRD:OBS505670111	2023-08-18 17:05:02.022448	32747	species	avibase-78509A5D	Lark Sparrow	Chondestes grammacus				5					Mexico	MX	Sinaloa	MX-SIN	Ahome	MX-SIN-001		33			Ahome	L5884424	P	25.9196069	-109.1754341	1933-08-22		obsr436577		S37216192	Historical	Historical	P62					10.0000	1	0		0	1	0				
URN:CornellLabOfOrnithology:EBIRD:OBS525813629	2021-04-16 04:40:48.478505	32747	species	avibase-78509A5D	Lark Sparrow	Chondestes grammacus				1					Mexico	MX	Sinaloa	MX-SIN	Ahome	MX-SIN-001		33			Ahome	L5884424	P	25.9196069	-109.1754341	1933-08-27		obsr436577		S38676064	Historical	Historical	P62				16.093	1.0000		0		0	1	0				
URN:CornellLabOfOrnithology:EBIRD:OBS505706428	2021-04-16 04:40:48.478505	6770	species	avibase-267BDB86	Least Grebe	Tachybaptus dominicus				X					Mexico	MX	Sinaloa	MX-SIN	Ahome	MX-SIN-001		33			Ahome	L5884424	P	25.9196069	-109.1754341	1933-08-28		obsr436577		S37218400	Historical	Historical	P62					10.0000	1	0		0	1	0				
URN:CornellLabOfOrnithology:EBIRD:OBS526020287	2021-04-16 04:40:48.478505	6162	species	avibase-A47B0BD4	Least Sandpiper	Calidris minutilla				1					Mexico	MX	Sinaloa	MX-SIN	Ahome	MX-SIN-001		33			Ahome	L5884424	P	25.9196069	-109.1754341	1933-08-29		obsr436577		S38691246	Historical	Historical	P62					10.0000	1	0		0	1	0				
URN:CornellLabOfOrnithology:EBIRD:OBS505665902	2021-04-16 04:40:48.478505	6162	species	avibase-A47B0BD4	Least Sandpiper	Calidris minutilla				X					Mexico	MX	Sinaloa	MX-SIN	Ahome	MX-SIN-001		33			Ahome	L5884424	P	25.9196069	-109.1754341	1933-08-16		obsr436577		S37215935	Historical	Historical	P62					10.0000	1	0		0	1	0				
URN:CornellLabOfOrnithology:EBIRD:OBS505663991	2021-08-19 16:53:40.851334	32330	species	avibase-CD5C21CA	Lesser Goldfinch	Spinus psaltria				1					Mexico	MX	Sinaloa	MX-SIN	Ahome	MX-SIN-001		33			Ahome	L5884424	P	25.9196069	-109.1754341	1933-08-10		obsr436577		S37215786	Historical	Historical	P62					10.0000	1	0		0	1	0				
URN:CornellLabOfOrnithology:EBIRD:OBS525810027	2021-04-16 04:40:48.478505	32330	species	avibase-CD5C21CA	Lesser Goldfinch	Spinus psaltria				1					Mexico	MX	Sinaloa	MX-SIN	Ahome	MX-SIN-001		33			Ahome	L5884424	P	25.9196069	-109.1754341	1933-08-12		obsr436577		S37215857	Historical	Historical	P62					10.0000	1	0		0	1	0				
URN:CornellLabOfOrnithology:EBIRD:OBS525811771	2021-04-16 04:40:48.478505	32330	species	avibase-CD5C21CA	Lesser Goldfinch	Spinus psaltria				2					Mexico	MX	Sinaloa	MX-SIN	Ahome	MX-SIN-001		33			Ahome	L5884424	P	25.9196069	-109.1754341	1933-08-15		obsr436577		S38675906	Historical	Historical	P62					10.0000	1	0		0	1	0				
URN:CornellLabOfOrnithology:EBIRD:OBS505651513	2021-04-16 04:40:48.478505	3431	species	avibase-9690689D	Lesser Nighthawk	Chordeiles acutipennis				3					Mexico	MX	Sinaloa	MX-SIN	Ahome	MX-SIN-001		33			Ahome	L5884424	P	25.9196069	-109.1754341	1933-08-04		obsr436577		S37214936	Historical	Historical	P62					10.0000	1	0		0	1	0				
URN:CornellLabOfOrnithology:EBIRD:OBS505668930	2021-08-05 16:42:34.756077	5961	species	avibase-5284C27B	Long-billed Curlew	Numenius americanus				X					Mexico	MX	Sinaloa	MX-SIN	Ahome	MX-SIN-001		33			Ahome	L5884424	P	25.9196069	-109.1754341	1933-08-19		obsr436577		S37216127	Historical	Historical	P62					10.0000	1	0		0	1	0				
